id,ordtyr,ordlyr,ord2yr,ord3yr,ordhist,sprord,sumord,fallord,winord,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40
16691,1,0,0,1,4,0,9,20,11,5,0,1,1,0,1,0,0,4,10,0,7,2,0,2,0,0,0,0,0,4,1,0,0,0,1,0,0,0,1
16705,0,0,0,0,2,2,0,2,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17221,0,0,0,0,2,5,0,0,3,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,1,0,0
17507,1,1,0,0,3,9,1,2,9,1,0,0,0,0,0,0,0,0,3,0,5,2,1,0,0,1,0,0,2,1,2,1,0,0,2,0,0,0,0
17639,1,0,0,0,3,0,0,0,15,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,3,0,5,0,0,0,0,0,2,1,0,0,0
17655,0,1,0,0,0,0,0,4,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
17809,0,0,0,1,1,0,3,0,3,0,0,1,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
17990,1,1,1,1,3,22,16,28,23,1,2,1,0,0,13,0,0,4,34,0,2,3,0,1,2,2,0,1,1,13,1,3,0,0,1,1,2,1,0
18554,0,0,0,0,3,10,11,3,4,3,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,5,0,4,7,0,0,0,0,1,0,4,0,1
18830,1,1,1,0,0,3,0,8,0,1,0,0,0,1,0,0,0,0,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
19410,0,0,1,1,2,2,3,8,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,7,2,2,0,0,0,1,1,0,0
19437,1,1,1,1,0,7,0,0,24,1,0,0,0,1,1,0,0,3,4,0,2,2,1,0,0,0,0,0,1,6,0,0,0,0,5,1,1,0,2
19690,0,0,0,0,2,0,8,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,2,1,0,0,0,0,2,0,0,0,0
19798,1,1,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
20117,1,1,0,0,1,13,1,0,3,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,11,1,0,0,0,0,0,0,1,0
20168,0,0,0,0,4,3,2,3,3,0,0,0,2,0,1,0,0,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0
20567,1,1,1,1,1,30,4,13,0,0,1,0,0,0,16,0,0,0,1,0,4,22,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0
20664,1,0,1,1,2,2,1,1,6,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0
20842,1,1,1,1,1,13,18,14,8,7,0,9,0,0,1,0,3,1,0,0,7,12,1,0,0,0,2,0,2,1,0,1,0,0,3,0,3,0,0
21377,0,1,1,1,2,0,16,21,10,0,0,1,0,0,13,1,0,8,8,0,6,2,1,0,0,0,0,0,1,6,0,0,0,0,0,0,0,0,0
21652,1,1,1,1,2,7,13,0,19,5,0,0,1,0,0,0,0,1,1,0,2,1,0,0,0,0,0,0,24,0,2,0,0,0,2,0,0,0,0
21768,0,1,1,1,3,21,39,40,17,15,2,3,0,1,5,0,1,12,7,0,16,8,0,0,1,0,0,0,15,5,0,2,1,0,3,3,0,2,15
21784,0,0,1,1,3,2,4,4,2,0,0,0,0,0,0,0,0,2,3,0,4,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
21814,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22225,0,0,0,0,1,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
22438,0,0,0,1,1,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
22454,0,1,1,1,3,6,8,2,12,0,0,0,0,0,0,0,0,2,3,0,0,1,0,0,0,0,0,0,13,0,1,0,0,0,1,0,0,7,0
23205,0,0,0,1,3,8,7,8,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,11,4,1,0,0,0,3,0,1,0,0
23337,0,1,1,1,2,2,5,2,3,0,0,0,0,0,0,0,0,0,3,0,0,4,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0
23442,1,1,1,1,4,37,21,30,24,3,0,1,0,2,0,0,0,3,17,0,13,1,1,0,2,1,0,0,28,28,6,0,0,0,1,3,0,0,2
